"id","gameType","teamName","dps","totalDamage","rotation","displayAvgDps","displayTotalDamageOrDpr","unresolvedWarnings","unmatchedCount","character1","character2","character3","character4"
"356f91d9-27a3-4e74-b350-cda88567da84","wuwa","Aemeath, Changli, Lupa",,"1852067.803","26.5",,"1.85M","False","0","Aemeath","Changli","Lupa",""
"39d5ad30-fcb3-434c-8bd8-0ef9fcf23af3","wuwa","Xuanling, Iuno, Chisa",,"2042593.481","27.5",,"2.04M","False","0","Xuanling","Iuno","Chisa",""
"3a121d57-4883-4cba-a44b-059a71d22ae6","genshin","Varesa Iansan Hexerei","113.6","2.39","21","113.6k","2.4k",,,"Varesa (C0)","Iansan (C6)","Nicole (C0)","Durin (C0)"
"3ac5ad6f-33b7-4647-9136-0726d4e2ccc5","wuwa","Hiyuki, Zhezhi, Chisa",,"1730991.195","27.5",,"1.73M","False","0","Hiyuki","Zhezhi","Chisa",""
"3c6f187d-987d-48ef-b94b-21a79f079d41","wuwa","Galbrena, Brant, Lupa",,"1666853.261","26.5",,"1.67M","False","0","Galbrena","Brant","Lupa",""
"42e97770-0993-4df6-8025-3d8ce213c9d1","wuwa","Galbrena, Qiuyuan, Lupa",,"1829988.157","26.5",,"1.83M","False","0","Galbrena","Qiuyuan","Lupa",""
"43a81cb3-b194-4940-a1c0-a5084f95e8fc","wuwa","Suisui, Hiyuki, Chisa",,"2435394.727","27.5",,"2.44M","False","0","Suisui","Hiyuki","Chisa",""
"441382d8-01e6-40bc-8187-aadf03a2a3e1","wuwa","Zani, Rover (Spectro), Shorekeeper",,"1374179.584","26.5",,"1.37M","False","0","Zani","Rover (Spectro)","Shorekeeper",""
"44d3d675-5be4-4b58-99a8-904fdd291493","wuwa","Lupa, Brant, Shorekeeper",,"1450818.404","28.0",,"1.45M","False","0","Lupa","Brant","Shorekeeper",""
"470d99ef-69a8-48ce-a557-a1bf3aeaf28e","wuwa","Luuk Herssen, Mornye, Denia",,"2172070.933","27.5",,"2.17M","False","0","Luuk Herssen","Mornye","Denia",""
"491c3fac-be36-4922-99dc-3ec22806d18a","wuwa","Sigrika, Iuno, Ciaccona",,"1547595.234","27.5",,"1.55M","False","0","Sigrika","Iuno","Ciaccona",""
"49b0318b-a880-4603-b540-611ac0003950","wuwa","Luuk Herssen, Denia, Shorekeeper",,"1713158.975","27.5",,"1.71M","False","0","Luuk Herssen","Denia","Shorekeeper",""
"4a94f5f0-c7fe-4930-8333-e8969611100a","wuwa","Hiyuki, Zhezhi, Shorekeeper",,"1423938.146","27.5",,"1.42M","False","0","Hiyuki","Zhezhi","Shorekeeper",""
"4be0cdb2-0b3f-4f56-9cea-66e42435e2cf","genshin","Varesa Nicole Durin ","117.4","2.47","21","117.4k","2.5k",,,"Varesa (C0)","Nicole (C0)","Chevreuse (C6)","Durin (C0)"
"4bfd846c-bcdc-4148-9acd-f1caeed9a954","wuwa","Qiuyuan, Galbrena, Phrolova",,"2056732.957","26.5",,"2.06M","False","0","Qiuyuan","Galbrena","Phrolova",""
"4c5d1997-50e6-480b-baea-0f373245b95a","wuwa","Galbrena, Lupa, Shorekeeper",,"1370184.344","26.5",,"1.37M","False","0","Galbrena","Lupa","Shorekeeper",""
"4dc4b303-1d21-449c-b94b-edbb3c2f0467","wuwa","Zani, Phoebe, Chisa",,"1825336.7","26.5",,"1.83M","False","0","Zani","Phoebe","Chisa",""
"52ecf767-7b21-4784-b0c4-bc1f333a5586","wuwa","Sigrika, Lynae, Mornye",,"1773191.46","27.5",,"1.77M","False","0","Sigrika","Lynae","Mornye",""
"536d25c9-bc67-48bc-868b-976c4c757bb1","wuwa","Suisui, Hiyuki, Lynae",,"2342720.792","27.5",,"2.34M","False","0","Suisui","Hiyuki","Lynae",""
"55922411-a1be-4e21-b904-d15ddb76065d","wuwa","Jinhsi, Cantarella, Shorekeeper",,"1322739.657","26.5",,"1.32M","False","0","Jinhsi","Cantarella","Shorekeeper",""
"560067ea-2d46-498a-b442-181849146b76","wuwa","Carlotta, Rebecca, Shorekeeper",,"1569484.224","25.0",,"1.57M","False","0","Carlotta","Rebecca","Shorekeeper",""
"574cc090-8310-4efe-8b33-063b03b709ab","wuwa","Lynae, Xiangli Yao, Mornye",,"1480525.847","25.0",,"1.48M","False","0","Lynae","Xiangli Yao","Mornye",""
"581d855c-d84c-4ce9-af7a-bb528fe9c290","wuwa","Carlotta, Lynae, Shorekeeper",,"1582189.737","25.0",,"1.58M","False","0","Carlotta","Lynae","Shorekeeper",""
"5c8b91ac-426d-4780-a106-2c09f4cf7a19","wuwa","Augusta, Iuno, Shorekeeper",,"1853823.046","26.5",,"1.85M","False","0","Augusta","Iuno","Shorekeeper",""
"5fb1cf1a-8d61-4d77-8977-86aff2bede5e","wuwa","Hiyuki, Yinlin, Shorekeeper",,"1342564.88","27.5",,"1.34M","False","0","Hiyuki","Yinlin","Shorekeeper",""
"5ff899cb-20c4-405a-a489-b1ec8591e6b9","wuwa","Augusta, Jiyan, Iuno",,"1461286.886","26.5",,"1.46M","False","0","Augusta","Jiyan","Iuno",""
"61086081-4892-4946-bd4c-1f77e2933323","wuwa","Hiyuki, Changli, Shorekeeper",,"1461790.135","27.5",,"1.46M","False","0","Hiyuki","Changli","Shorekeeper",""
"644c63ea-8fb5-479f-958d-d17398e9471d","wuwa","Iuno, Ciaccona, Shorekeeper",,"1549408.934","27.5",,"1.55M","False","0","Iuno","Ciaccona","Shorekeeper",""
"6ca54bc2-a38e-4fcd-a617-f845dd4fa7f2","wuwa","Lynae, Mornye, Shorekeeper",,"1126639.18","25.0",,"1.13M","False","0","Lynae","Mornye","Shorekeeper",""
"6cd23f9d-403d-40a9-a695-4767a6c6a07a","wuwa","Lupa, Changli, Shorekeeper",,"1164260.56","28.0",,"1.16M","False","0","Lupa","Changli","Shorekeeper",""
"6d922d29-f909-48fa-abd6-6067dc26b169","wuwa","Sigrika, Qiuyuan, Mornye",,"2027681.525","27.5",,"2.03M","False","0","Sigrika","Qiuyuan","Mornye",""
"6e750c70-36f0-412c-b716-3b75baa1f1c3","wuwa","Lynae, Carlotta, Mornye",,"1625712.497","25.0",,"1.63M","False","0","Lynae","Carlotta","Mornye",""
"70ce2e8c-6c46-43e4-9d97-fbe2454048fd","wuwa","Denia, Aemeath, Shorekeeper",,"1745076.325","27.5",,"1.75M","False","0","Denia","Aemeath","Shorekeeper",""
"75a8304a-d2ef-4577-9895-b0cbe23f1d92","wuwa","Aemeath, Jianxin, Mornye",,"1315733.542","26.5",,"1.32M","False","0","Aemeath","Jianxin","Mornye",""
"79ea67bc-e903-4056-a584-4db8216a33d0","wuwa","Lynae, Iuno, Mornye",,"1935703.038","25.0",,"1.94M","False","0","Lynae","Iuno","Mornye",""
"7a9c8196-31e4-460c-97dc-3204224567ec","wuwa","Augusta, Yinlin, Shorekeeper",,"1234626.319","26.5",,"1.23M","False","0","Augusta","Yinlin","Shorekeeper",""
"7c2e9132-7336-4297-9e1a-6f30eaaa23e6","wuwa","Augusta, Phrolova, Shorekeeper",,"1530049.535","26.5",,"1.53M","False","0","Augusta","Phrolova","Shorekeeper",""
"8166327d-722d-4ee1-893d-4f459de440b1","wuwa","Jinhsi, Zhezhi, Shorekeeper",,"1331449.87","26.5",,"1.33M","False","0","Jinhsi","Zhezhi","Shorekeeper",""
"8299c0ae-87f4-4153-bf7c-5afa12834d32","wuwa","Lynae, Denia, Mornye",,"1511840.465","27.5",,"1.51M","False","0","Lynae","Denia","Mornye",""
"840d096b-fc29-435b-b6e9-3d77ea287345","wuwa","Galbrena, Denia, Lupa",,"1774792.503","27.5",,"1.77M","False","0","Galbrena","Denia","Lupa",""
"84124da9-65c6-4a8f-823d-f929a07445ad","wuwa","Luuk Herssen, Lynae, Mornye",,"2027503.037","27.5",,"2.03M","False","0","Luuk Herssen","Lynae","Mornye",""
"8671b34e-57af-424b-b683-b7d6b4209b8c","wuwa","Lucilla, Phrolova, Shorekeeper",,"1628473.863","27.5",,"1.63M","False","0","Lucilla","Phrolova","Shorekeeper",""
"890110c9-42e7-489a-9592-adc26fc54aa8","wuwa","Hiyuki, Lynae, Shorekeeper",,"1877252.38","27.5",,"1.88M","False","0","Hiyuki","Lynae","Shorekeeper",""
"8b3f3953-bd77-4239-8457-3fea887a9b71","wuwa","Iuno, Jianxin, Shorekeeper",,"1318562.858","27.5",,"1.32M","False","0","Iuno","Jianxin","Shorekeeper",""
"8bac63a5-7369-40a3-aab9-9745ed8306f0","wuwa","Lucy, Rebecca, Shorekeeper",,"1923846.589","27.5",,"1.92M","False","0","Lucy","Rebecca","Shorekeeper",""
"8d0f88cc-604f-4aaa-8d92-4c4e77a119ce","wuwa","Changli, Brant, Shorekeeper",,"912990.889","27.5",,"0.91M","False","0","Changli","Brant","Shorekeeper",""
"8dad4ce5-04bc-4aa4-b033-90ce27e6992e","wuwa","Aemeath, Lynae, Mornye",,"2243782.686","26.5",,"2.24M","False","0","Aemeath","Lynae","Mornye",""
"8faae02c-c368-49e8-b7bd-dc50479c85ca","wuwa","Aemeath, Lynae, Shorekeeper",,"1788173.774","26.5",,"1.79M","False","0","Aemeath","Lynae","Shorekeeper",""
"90bc6565-ce9c-497b-9e1a-655c9e51d9a5","wuwa","Lucilla, Sigrika, Shorekeeper",,"2356942.033","27.5",,"2.36M","False","0","Lucilla","Sigrika","Shorekeeper",""
"92aa0219-4e81-428d-aa8b-66ef25694c96","wuwa","Mornye, Galbrena, Lupa",,"1740896.017","27.5",,"1.74M","False","0","Mornye","Galbrena","Lupa",""
"95aa9480-7ed8-45ae-a085-9589c6dd48da","wuwa","Qiuyuan, Iuno, Ciaccona",,"1596718.386","26.5",,"1.60M","False","0","Qiuyuan","Iuno","Ciaccona",""
"998acaf3-a795-4466-bc65-1dd5925f73a6","wuwa","Sigrika, Ciaccona, Shorekeeper",,"1467103.326","27.5",,"1.47M","False","0","Sigrika","Ciaccona","Shorekeeper",""
"99b60611-9983-4418-8283-566816cde8a2","wuwa","Aemeath, Lupa, Mornye",,"1852655.077","26.5",,"1.85M","False","0","Aemeath","Lupa","Mornye",""
"99efe42b-1c78-4e1f-b62f-47d76a6fd59c","wuwa","Galbrena, Iuno, Shorekeeper",,"1327565.711","26.5",,"1.33M","False","0","Galbrena","Iuno","Shorekeeper",""
"9a4c24eb-f4df-4819-a05b-b5b60da46746","wuwa","Lucy, Rebecca, Mornye",,"2042816.341","27.5",,"2.04M","False","0","Lucy","Rebecca","Mornye",""
"9c7f0ed6-b20c-4baf-b9be-4d489e307735","wuwa","Augusta, Rebecca, Shorekeeper",,"1654502.464","27.5",,"1.65M","False","0","Augusta","Rebecca","Shorekeeper",""
"9cd7b99b-74a1-416f-9ac6-a31afcd96d69","wuwa","Iuno, Zani, Phoebe",,"1411488.061","27.5",,"1.41M","False","0","Iuno","Zani","Phoebe",""
"9d1646fa-b9aa-4c2d-a236-be6b2643dbed","genshin","Varesa Premium","120.4","2.41","20","120.4k","2.4k",,,"Varesa (C0)","Iansan (C6)","Chevreuse (C6)","Durin (C0)"
"9ee6909b-5c9e-486f-a810-fcaad8514771","wuwa","Augusta, Iuno, Verina",,"1595849.544","26.5",,"1.60M","False","0","Augusta","Iuno","Verina",""
"a1978707-75eb-4cd3-9493-8538d562177f","wuwa","Lupa, Encore, Mortefi",,"1226795.544","28.0",,"1.23M","False","0","Lupa","Encore","Mortefi",""
"a1f23bbb-db6d-40f1-943d-5bd00e9dde5d","wuwa","Suisui, Hiyuki, Lucilla",,"2545992.828","27.5",,"2.55M","False","0","Suisui","Hiyuki","Lucilla",""
"a210f865-0135-4264-aedc-61c921a71883","wuwa","Mornye, Brant, Lupa",,"1697182.679","27.5",,"1.70M","False","0","Mornye","Brant","Lupa",""
"a27d5889-18a5-4c68-b319-fb2e62ea6b3a","wuwa","Xuanling, Rebecca, Chisa",,"2297283.411","27.5",,"2.30M","False","0","Xuanling","Rebecca","Chisa",""
"a4d26709-1fa7-4e0b-9745-0d4294ed5294","wuwa","Xuanling, Lynae, Chisa",,"2197772.37","27.5",,"2.20M","False","0","Xuanling","Lynae","Chisa",""
"a51ac96c-a7dc-4705-8e1f-44272e199760","wuwa","Zani, Phoebe, Shorekeeper",,"1809104.139","26.5",,"1.81M","False","0","Zani","Phoebe","Shorekeeper",""
"a6ed4b98-d032-4ece-bba2-d5498f944727","wuwa","Phrolova, Brant, Sanhua",,"1267221.202","27.5",,"1.27M","False","0","Phrolova","Brant","Sanhua",""
"a7862258-4a5b-4488-b3ee-569cbe254647","wuwa","Aemeath, Yinlin, Mornye",,"1326867.726","26.5",,"1.33M","False","0","Aemeath","Yinlin","Mornye",""
"a975fb7f-dfa3-4a69-ab3b-3f3a4eb80df2","genshin","Skirk Premium","125","2.63","21","125.0k","2.6k",,,"Skirk","Furina","Escoffier","Yelan"
"b03b09a7-2d21-4937-a06e-5afae8b7e28e","wuwa","Galbrena, Mortefi, Shorekeeper",,"1193370.008","26.5",,"1.19M","False","0","Galbrena","Mortefi","Shorekeeper",""
"b2bd1d2f-59e2-4eae-8601-5deeb8a9095c","wuwa","Iuno, Yinlin, Shorekeeper",,"1333309.113","27.5",,"1.33M","False","0","Iuno","Yinlin","Shorekeeper",""
"b3c4efba-cef3-419e-b6a1-7611bda30415","wuwa","Sigrika, Qiuyuan, Ciaccona",,"2172745.706","27.5",,"2.17M","False","0","Sigrika","Qiuyuan","Ciaccona",""
"b5abf2b1-9b36-46b7-9bf7-412f86326dc8","wuwa","Hiyuki, Chisa, Mornye",,"1731959.857","27.5",,"1.73M","False","0","Hiyuki","Chisa","Mornye",""
"b8398368-0f04-4d69-a3cf-8c3aef373bce","wuwa","Xuanling, Phrolova, Chisa",,"2203248.795","27.5",,"2.20M","False","0","Xuanling","Phrolova","Chisa",""
"b8b47621-47c5-43e8-83bc-69c4af60a973","wuwa","Lynae, Galbrena, Mornye",,"1700082.826","25.0",,"1.70M","False","0","Lynae","Galbrena","Mornye",""
"bad238c0-acdb-431a-b49e-14a9a444b305","wuwa","Phrolova, Jinhsi, Cantarella",,"1590861.764","27.5",,"1.59M","False","0","Phrolova","Jinhsi","Cantarella",""
"bb979b0c-42fa-43c4-9a15-abb2751911aa","wuwa","Lucilla, Hiyuki, Chisa",,"2462107.343","27.5",,"2.46M","False","0","Lucilla","Hiyuki","Chisa",""
"bcd847d4-d949-414f-965e-c4376a21880c","wuwa","Suisui, Cartethyia, Ciaccona",,"1913170.651","27.5",,"1.91M","False","0","Suisui","Cartethyia","Ciaccona",""
"c3618603-e29a-41c2-b3cc-752592508d3d","wuwa","Lynae, Augusta, Mornye",,"1699253.928","25.0",,"1.70M","False","0","Lynae","Augusta","Mornye",""
"c393b2a2-0e24-4cae-911a-15a78fa6d138","wuwa","Suisui, Aemeath, Denia",,"2070791.517","27.5",,"2.07M","False","0","Suisui","Aemeath","Denia",""
"c58f510a-da74-445d-ae46-0167acd9c63d","wuwa","Denia, Aemeath, Chisa",,"2209968.153","27.5",,"2.21M","False","0","Denia","Aemeath","Chisa",""
"c6517d9c-8c97-4856-a57b-348c12b77bb2","wuwa","Lynae, Iuno, Shorekeeper",,"1835121.524","25.0",,"1.84M","False","0","Lynae","Iuno","Shorekeeper",""
"d0b47190-57bd-4871-970b-bc77584255d8","wuwa","Carlotta, Zhezhi, Buling",,"1298106.123","25.0",,"1.30M","False","0","Carlotta","Zhezhi","Buling",""
"d1b90358-e8d9-4c6e-8481-5083c32ba281","wuwa","Suisui, Xuanling, Chisa",,"2602374.907","27.5",,"2.60M","False","0","Suisui","Xuanling","Chisa",""
"e18a45eb-ec39-4b47-a7ae-17a51b77e054","wuwa","Lynae, Chisa, Mornye",,"1371447.585","25.0",,"1.37M","False","0","Lynae","Chisa","Mornye",""
"e237909c-8c31-47ee-bce2-a9e54e1a41bd","wuwa","Lucilla, Hiyuki, Mornye",,"1815233.64","27.5",,"1.82M","False","0","Lucilla","Hiyuki","Mornye",""
"e420123e-e914-40ef-92cc-e86bd7b09d44","wuwa","Carlotta, Lucilla, Shorekeeper",,"1388254.362","27.5",,"1.39M","False","0","Carlotta","Lucilla","Shorekeeper",""
"e5a0b690-baef-4358-ac6f-a8598a1e63b2","wuwa","Luuk Herssen, Lynae, Shorekeeper",,"1931073.721","27.5",,"1.93M","False","0","Luuk Herssen","Lynae","Shorekeeper",""
"e6aa4d4b-4fd0-4dc4-b488-f15bbeb7422d","wuwa","Aemeath, Lupa, Chisa",,"1748165.174","26.5",,"1.75M","False","0","Aemeath","Lupa","Chisa",""
"e8095f18-8c41-4625-a292-3d2abf9b142e","wuwa","Galbrena, Mortefi, Lupa",,"1453065.744","26.5",,"1.45M","False","0","Galbrena","Mortefi","Lupa",""
"e845bc56-f832-4c9b-9fb6-b1dde688bca8","wuwa","Hiyuki, Lynae, Verina",,"1538727.725","27.5",,"1.54M","False","0","Hiyuki","Lynae","Verina",""
"ec435dd8-8645-4c89-8480-d028b34c9cca","wuwa","Phoebe, Rover (Spectro), Shorekeeper",,"1337930.713","26.5",,"1.34M","False","0","Phoebe","Rover (Spectro)","Shorekeeper",""
"ecfafe79-d693-429d-9839-5b26c2dae5f9","genshin","Varka Durin Nicole","121.8","2.46","20.2","121.8k","2.5k",,,"Varka (C0)","Venti (C0)","Durin (C0)","Nicole (C0)"
"ed785eba-c888-4262-ae89-a06801208f35","wuwa","Cartethyia, Chisa, Shorekeeper",,"1376618.984","26.5",,"1.38M","False","0","Cartethyia","Chisa","Shorekeeper",""
"f0adcb92-f0c8-4c77-9c9d-124fee7ec7a7","wuwa","Zani, Phoebe, Rover (Spectro)",,"1896713.225","26.5",,"1.90M","False","0","Zani","Phoebe","Rover (Spectro)",""
"f2c6afc3-6ab1-4685-ad4e-78bf96316718","genshin","Navia Hexerei","95.5","1.81","20","95.5k","1.8k",,,"Navia (C0)","Xilonen (C0)","Nicole (C0)","Durin (C0)"
"f5378889-8840-4591-a3ff-9b9279aa58fe","wuwa","Suisui, Xuanling, Phrolova",,"2312818.628","27.5",,"2.31M","False","0","Suisui","Xuanling","Phrolova",""
"f871e91b-b2d4-43df-b7bc-0946759ccc86","wuwa","Aemeath, Lynae, Chisa",,"1891003.718","26.5",,"1.89M","False","0","Aemeath","Lynae","Chisa",""
"fa6089e0-c59a-49df-8318-3c727c1a4b02","wuwa","Qiuyuan, Phrolova, Cantarella",,"1660573.354","26.5",,"1.66M","False","0","Qiuyuan","Phrolova","Cantarella",""
"fade1b58-13fb-4e48-8ff6-b6c1b07af8d9","wuwa","Lucilla, Galbrena, Shorekeeper",,"1929818.185","27.5",,"1.93M","False","0","Lucilla","Galbrena","Shorekeeper",""
"fcbc16bd-4a5c-4c42-8dfa-53489f451611","wuwa","Galbrena, Changli, Lupa",,"1527740.483","26.5",,"1.53M","False","0","Galbrena","Changli","Lupa",""
"fecbf928-6316-4e7c-8f34-1f6535026dd1","wuwa","Iuno, Jiyan, Shorekeeper",,"1428815.447","27.5",,"1.43M","False","0","Iuno","Jiyan","Shorekeeper",""
